Name of Item,Price Range (in Rupees),Ranking,Number of stars
Skybag Rubik 57cm Polyester Softsided Cabin Luggage 4W Black Strolly,0.0,#1,31
"GLUN Bolt Electronic Portable Fishing Hook Type Digital LED Screen Luggage Weighing Scale, 50 kg/110 Lb (Black)",245.0,#2,"16,775"
WildHorn Brown Leather Men's Leather Wallet(WH2052 Crackle),240.0,#3,"29,988"
Skybags Brat Black 46 Cms Casual Backpack,669.0,#4,"2,403"
Urban Forest Oliver Blue RFID Blocking Leather Wallet for Men,479.0,#5,"37,191"
M MEDLER Epoch Nylon 55 litres Waterproof Strolley Duffle Bag- 2 Wheels - Luggage Bag - (Navy Blue),499.0,#6,"20,928"
Trajectory Supercomfy Grey Neck Pillow Rest Cushion for Travel in Flight car Train Airplane with 10 Years Warranty for Sleeping for Men and Women,319.0,#7,"8,809"
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),1198.0,#8,"48,110"
Urban Forest Oliver Black RFID Blocking Leather Wallet for Men,479.0,#9,"9,771"
SAFARI 15 Ltrs Denim Blue Casual/School/College Backpack (DAYPACKNEO15CBDNB),299.0,#10,"11,047"
"Safari Pentagon Polypropylene 55 cms Cyan Hardsided Cabin Luggage, 4 Wheel Trolley Bag, Travel Suitcase for Men and Women",2199.0,#11,504
"Kuber Industries Shoe Cover/String Bag Organizer|Shoe Print & Non Woven Material|Transparent Window|Size 43 x 30 Cm, Pack of 12 (Grey)-CTMTC039483",301.0,#12,"2,598"
Storite PU Leather 9 Slot Vertical Credit Debit Card Holder Money Wallet Zipper Coin Purse for Men Women - Light Brown (11.5 x 1.75 x 8 cm),499.0,#13,"7,000"
GoTrippin Metal Luggage Weighing Scale Digital (Silver_ELS),798.0,#14,"7,805"
DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),239.0,#15,"11,708"
Sfane Polyester 23 Cms Duffle Bag(BG - 05 HALF BLACK LT SHOE COMPTT_ Grey),397.0,#16,"5,561"
DEIN KLEIDER Men's Nylon Messenger Bag,305.0,#17,"3,819"
Rigohill Doger Olive Green Mens Leather Wallet | Leather Wallet for Men | RFID Mens Wallet,499.0,#18,"2,809"
LONDON ALLEY Elk Vintage Brown RFID Blocking Men's Leather Wallet,499.0,#19,"4,932"
Shoeshine Pack of 12 Black Shoe Bag,359.0,#20,"5,932"
Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),599.0,#21,"5,910"
Trajectory Supercomfy Grey Neck Pillow Rest Cushion with Velvet Eyemask for Travel in Flight car Train Airplane with 10 Years Warranty for Sleeping for Men and Women,375.0,#22,"6,137"
House of Quirk Travel Storage Clothes Packing Cubes Space Savers Bags Cosmetics/Underwear/ Socks/Shoes Organizer Pouch (Pack of 6 Navy Blue),499.0,#23,776
"POLESTAR Xplore 55 L Hiking/ Trekking/ Camping/ Travelling Rucksack Backpack with rain cover, shoe compartment, water resistant, made with polyester, 1 year warranty",999.0,#24,"11,501"
ZIPLINE Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag Weekend Bag,798.0,#25,"4,140"
Hornbull Denial Navy Leather Wallet for Men | Wallets Men with RFID Blocking | Mens Wallet,499.0,#26,"9,271"
WildHorn Blue Hunter Leather Men's Wallet,475.0,#27,"24,358"
NAPA HIDE Tan Crunch Leather Wallet for Men,299.0,#28,"28,917"
DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),239.0,#29,"10,226"
"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",349.0,#30,"5,503"
